,date,company_name,action,maya_link,html_link
0,17:29 01/02/2015,פלסאון תעשיות ,"זימון אסיפה ל-10.3.15-מינוי דח""צ,שיפוי,כתב הצבעה",http://maya.tase.co.il/reports/details/946684,http://mayafiles.tase.co.il/RHtm/946001-947000/H946684.htm
1,16:16 01/02/2015,פלסאון תעשיות ,מינוי דירקטור - נתיב ליאת,http://maya.tase.co.il/reports/details/946666,http://mayafiles.tase.co.il/RHtm/946001-947000/H946666.htm
2,15:36 01/02/2015,דלק קבוצה ,"זימון אסיפה ל-5.3.15-מינוי דח""צ,כתב הצבעה-תיקון טעות סופר",http://maya.tase.co.il/reports/details/946641,http://mayafiles.tase.co.il/RHtm/946001-947000/H946641.htm
3,09:25 01/02/2015,שיכון ובינוי ,"מינוי נושא משרה-סמנכ""ל קיימות-אורי בן פורת",http://maya.tase.co.il/reports/details/946546,http://mayafiles.tase.co.il/RHtm/946001-947000/H946546.htm
4,09:14 01/02/2015,דיסקונט השקעות ,מינוי דירקטור-אילון לילי,http://maya.tase.co.il/reports/details/946532,http://mayafiles.tase.co.il/RHtm/946001-947000/H946532.htm
5,08:13 01/02/2015,מיחשוב ישיר קב ,"אסיפה ב8.3-מינוי דח""צ-תיקון מועד קובע והוספת כ.הצבעה",http://maya.tase.co.il/reports/details/946493,http://mayafiles.tase.co.il/RHtm/946001-947000/H946493.htm
6,22:43 31/01/2015,פטרוכימיים ,"תוצ' אסיפה כללית מיום 29.1.15, מינוי דירקטורים, מינוי רו""ח",http://maya.tase.co.il/reports/details/946487,http://mayafiles.tase.co.il/RHtm/946001-947000/H946487.htm
7,21:30 29/01/2015,גו.די.אם ,"זימון אסיפה שנתית ל-22.2.15-הצהרת דירקטור, מינוי רו""ח",http://maya.tase.co.il/reports/details/946472,http://mayafiles.tase.co.il/RHtm/946001-947000/H946472.htm
8,20:11 29/01/2015,שמן נפט וגז ,"תוצ' אסיפה מ-29.1.14, עדכון מדיניות תגמול, ביטוח, מינוי דח""צ",http://maya.tase.co.il/reports/details/946470,http://mayafiles.tase.co.il/RHtm/946001-947000/H946470.htm
9,18:15 29/01/2015,כפרית ,"תוצ אסיפה מ-29.1.15,מינוי דירקטורים,מינוי רו""ח,מינוי דח""צית",http://maya.tase.co.il/reports/details/946447,http://mayafiles.tase.co.il/RHtm/946001-947000/H946447.htm
