,date,company_name,action,maya_link,html_link
0,16:24 01/02/2015,פלסאון תעשיות ,הנהלה ונושאי משרה-מצבת ליום 1.2.15,http://maya.tase.co.il/reports/details/946672,http://mayafiles.tase.co.il/RHtm/946001-947000/H946672.htm
1,14:39 01/02/2015,מגדלי ים תיכון ,הנהלה ונושאי משרה-מצבת ליום 1.2.15,http://maya.tase.co.il/reports/details/946631,http://mayafiles.tase.co.il/RHtm/946001-947000/H946631.htm
2,14:18 01/02/2015,אזורים ,הנהלה ונושאי משרה-מצבת ליום 1.2.15,http://maya.tase.co.il/reports/details/946626,http://mayafiles.tase.co.il/RHtm/946001-947000/H946626.htm
3,13:44 01/02/2015,פטרוכימיים ,הנהלה ונושאי משרה-מצבת ליום 1.2.15,http://maya.tase.co.il/reports/details/946618,http://mayafiles.tase.co.il/RHtm/946001-947000/H946618.htm
4,13:10 01/02/2015,אינטרקיור ,הנהלה ונושאי משרה-מצבת ליום 1.2.15,http://maya.tase.co.il/reports/details/946613,http://mayafiles.tase.co.il/RHtm/946001-947000/H946613.htm
5,13:10 01/02/2015,בבילון ,הנהלה ונושאי משרה-מצבת ליום 1.2.15,http://maya.tase.co.il/reports/details/946612,http://mayafiles.tase.co.il/RHtm/946001-947000/H946612.htm
6,10:39 01/02/2015,אאורה ,הנהלה ונושאי משרה-מצבת ליום 1.7.14,http://maya.tase.co.il/reports/details/946569,http://mayafiles.tase.co.il/RHtm/946001-947000/H946569.htm
7,09:55 01/02/2015,שיכון ובינוי ,הנהלה ונושאי משרה-מצבת ליום 1.2.15,http://maya.tase.co.il/reports/details/946562,http://mayafiles.tase.co.il/RHtm/946001-947000/H946562.htm
8,09:46 01/02/2015,שלמה נדלן ,הנהלה ונושאי משרה-מצבת ליום 1.2.15,http://maya.tase.co.il/reports/details/946558,http://mayafiles.tase.co.il/RHtm/946001-947000/H946558.htm
9,09:40 01/02/2015,כלל עסקי ביטוח ,הנהלה ונושאי משרה-מצבת ליום 1.2.15,http://maya.tase.co.il/reports/details/946557,http://mayafiles.tase.co.il/RHtm/946001-947000/H946557.htm
10,09:17 01/02/2015,מירלנד ,הנהלה ונושאי משרה-מצבת ליום 1.2.15,http://maya.tase.co.il/reports/details/946536,http://mayafiles.tase.co.il/RHtm/946001-947000/H946536.htm
11,09:17 01/02/2015,דיסקונט השקעות ,הנהלה ונושאי משרה-מצבת ליום 1.2.15,http://maya.tase.co.il/reports/details/946535,http://mayafiles.tase.co.il/RHtm/946001-947000/H946535.htm
12,09:14 01/02/2015,צמיחה ,הנהלה ונושאי משרה-מצבת ליום 1.2.15,http://maya.tase.co.il/reports/details/946533,
13,08:50 01/02/2015,דניה סיבוס ,הנהלה ונושאי משרה-מצבת ליום 1.2.15,http://maya.tase.co.il/reports/details/946514,
14,08:43 01/02/2015,אגוד ,הנהלה ונושאי משרה-מצבת ליום 1.2.15,http://maya.tase.co.il/reports/details/946509,
15,18:17 31/01/2015,לוינסקי עופר ,הנהלה ונושאי משרה-מצבת ליום 31.1.15,http://maya.tase.co.il/reports/details/946483,
16,23:16 29/01/2015,דלתא ,הנהלה ונושאי משרה-מצבת ליום 29.1.15,http://maya.tase.co.il/reports/details/946475,http://mayafiles.tase.co.il/RHtm/946001-947000/H946475.htm
17,16:37 29/01/2015,סקיילקס ,הנהלה ונושאי משרה-מצבת ליום 29.1.15,http://maya.tase.co.il/reports/details/946424,
18,16:33 29/01/2015,וויי-בוקס ,הנהלה ונושאי משרה-מצבת ליום 29.1.15,http://maya.tase.co.il/reports/details/946423,
19,20:28 28/01/2015,אינסוליין ,הנהלה ונושאי משרה-מצבת ליום 28.12.14,http://maya.tase.co.il/reports/details/946257,
20,18:34 28/01/2015,ננו דיימנשן ,הנהלה ונושאי משרה-מצבת ליום 28.1.15,http://maya.tase.co.il/reports/details/946242,
21,14:55 28/01/2015,לודזיה ,הנהלה ונושאי משרה-מצבת ליום 28.1.15,http://maya.tase.co.il/reports/details/946186,
22,10:16 28/01/2015,צור ,הנהלה ונושאי משרה-מצבת ליום 28.1.15,http://maya.tase.co.il/reports/details/946137,http://mayafiles.tase.co.il/RHtm/946001-947000/H946137.htm
